source,target,status,preserve_query_string,preserve_path_suffix
https://najieip.com/articles/2026-08-06-%E4%B8%AD%E5%85%B4%E4%B8%89%E6%98%9FSEP%E4%B8%AD%E8%8B%B1%E6%B3%95%E9%99%A2%E4%BC%B0%E5%80%BC%E5%B7%AE.html,https://najieip.com/mili/blog/zte-samsung-sep-valuation.html,301,true,false
https://najieip.com/articles/20260723-weituo-chuangzuo-banquan-xieyi-bi-keng.html,https://najieip.com/mili/blog/weituo-chuangzuo-banquan-xieyi-bi-keng.html,301,true,false
https://najieip.com/articles/20260803-xishuo-xiuxian-003.html,https://najieip.com/aipunajie/blog/ip-xiuxian-003.html,301,true,false
https://najieip.com/articles/20260804-fifteen-five-ip-plan.html,https://najieip.com/najie/blog/shierwu-ip-exports-455yi-2026.html,301,true,false
https://najieip.com/articles/20260804-ic-layout-design-regulations.html,https://najieip.com/najie/blog/20260804-ic-layout-design-regulations.html,301,true,false
https://najieip.com/articles/20260805-fifteen-five-ipr-checklist.html,https://najieip.com/najie/blog/shierwu-ipr-checklist-2026.html,301,true,false
https://najieip.com/articles/20260807-avanci-uk-chinese-automakers-sep.html,https://najieip.com/mili/blog/20260807-avanci-uk-chinese-automakers-sep.html,301,true,false
https://najieip.com/articles/20260807-overseas-ip-selfcheck.html,https://najieip.com/najie/blog/overseas-ip-selfcheck-2026.html,301,true,false
https://najieip.com/articles/20260807-overseas-trademark-madrid.html,https://najieip.com/najie/blog/overseas-trademark-madrid-2026.html,301,true,false
https://najieip.com/articles/20260809-ai-vs-employee-%E7%BB%BC%E5%90%88%E5%AF%B9%E6%AF%94.html,https://najieip.com/najie/blog/20260809-ai-vs-employee.html,301,true,false
https://najieip.com/articles/20260810-xishuo-patent-invalid-huashan.html,https://najieip.com/najie/blog/20260810-xishuo-patent-invalid-huashan.html,301,true,false
https://najieip.com/articles/20260811-AI%E7%89%88%E6%9D%83%E4%B8%AD%E7%BE%8E%E8%B7%AF%E5%BE%84%E4%BC%81%E4%B8%9A%E5%87%BA%E6%B5%B7%E5%AE%9E%E6%93%8D.html,https://najieip.com/mili/blog/20260811-ai-copyright-cn-us-overseas.html,301,true,false
https://najieip.com/articles/20260811-overseas-ip-dispute-report.html,https://najieip.com/mili/blog/20260811-overseas-ip-dispute-report.html,301,true,false
https://najieip.com/articles/20260812-trade-secret-pitfalls.html,https://najieip.com/mili/blog/20260812-trade-secret-pitfalls.html,301,true,false
https://najieip.com/articles/20260813-franchise-supreme-court-7cases.html,https://najieip.com/mili/blog/franchise-supreme-court-7cases-20260814.html,301,true,false
https://najieip.com/articles/20260813-luckin-thailand-trademark-checklist.html,https://najieip.com/najie/blog/20260813-luckin-thailand-trademark-checklist.html,301,true,false
https://najieip.com/articles/20260814-geely-wm-trade-secret-bill.html,https://najieip.com/mili/blog/geely-wm-trade-secret-20260814.html,301,true,false
